batch_id,tenant_id,institution_id,program_id,batch_code,batch_name,academic_year,current_semester,student_count,preferred_shift
a1b2c3d4-e5f6-7890-abcd-123456789701,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789201,BTECH_CSE_2024_A,B.Tech CSE 2024 Batch A,2024-25,3,45,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789702,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789201,BTECH_CSE_2024_B,B.Tech CSE 2024 Batch B,2024-25,3,42,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789703,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789201,BTECH_CSE_2023_A,B.Tech CSE 2023 Batch A,2023-24,5,48,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789704,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789201,BTECH_CSE_2023_B,B.Tech CSE 2023 Batch B,2023-24,5,46,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789705,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789201,BTECH_CSE_2022_A,B.Tech CSE 2022 Batch A,2022-23,7,44,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789706,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789201,BTECH_CSE_2022_B,B.Tech CSE 2022 Batch B,2022-23,7,43,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789710,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789202,BTECH_ECE_2024_A,B.Tech ECE 2024 Batch A,2024-25,3,38,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789711,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789202,BTECH_ECE_2023_A,B.Tech ECE 2023 Batch A,2023-24,5,41,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789712,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789202,BTECH_ECE_2022_A,B.Tech ECE 2022 Batch A,2022-23,7,39,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789713,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789202,BTECH_ECE_2021_A,B.Tech ECE 2021 Batch A,2021-22,8,37,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789720,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789203,BTECH_ME_2024_A,B.Tech ME 2024 Batch A,2024-25,3,35,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789721,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789203,BTECH_ME_2023_A,B.Tech ME 2023 Batch A,2023-24,5,38,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789722,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789203,BTECH_ME_2022_A,B.Tech ME 2022 Batch A,2022-23,7,36,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789730,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789204,BBA_2024_A,BBA 2024 Batch A,2024-25,3,32,MORNING
a1b2c3d4-e5f6-7890-abcd-123456789731,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789204,BBA_2023_A,BBA 2023 Batch A,2023-24,5,34,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789732,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789204,BBA_2022_A,BBA 2022 Batch A,2022-23,6,33,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789740,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789205,MBA_2024_A,MBA 2024 Batch A,2024-25,1,28,AFTERNOON
a1b2c3d4-e5f6-7890-abcd-123456789741,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,a1b2c3d4-e5f6-7890-abcd-123456789205,MBA_2023_A,MBA 2023 Batch A,2023-24,3,29,EVENING
